leg,commanded_mm,cruise,id,reason,cam_len_mm,len_err_mm,lateral_mm,dheading_deg,x0,y0,x1,y1,peak_v,first_moving_v,max_accel,min_accel,tail_monotone,frames
0,600,100,6,stop,594.9,-5.1,-19.3,-2.23,-29.68,-1.16,29.75,-3.83,138,34.5,784.6153846153846,-280.3030303030303,False,235
1,-600,100,7,stop,591.0,-9.0,-11.8,3.57,29.76,-3.76,-29.24,-0.3,128,26.0,518.5185185185185,-476.9230769230769,True,242
2,600,100,8,stop,599.7,-0.3,-15.1,4.69,-29.23,-0.43,30.7,-2.55,128,20.0,863.6363636363636,-800.0,True,255
3,-600,100,9,stop,594.8,-5.2,-19.6,2.57,30.7,-2.54,-28.74,-4.82,138,13.0,509.09090909090907,-574.0740740740741,False,281
4,600,100,10,stop,592.5,-7.5,-40.0,-3.76,-28.75,-4.81,30.43,-1.92,144,10.0,893.9393939393939,-675.925925925926,False,252
5,-600,100,11,stop,595.2,-4.8,-5.3,1.8,30.42,-1.93,-29.05,-4.48,138,28.0,454.5454545454545,-784.6153846153846,False,257
