1787958517.369 >>> HELLO
1787958517.391 device NEZHA2 robot vevov 1198504156
1787958518.399 >>> VER
1787958518.411 ver 0.20260827.2
1787958519.419 >>> STATUS
1787958519.444 status ready=0 active=0 connL=0 connR=0 otos=1 wedge=0 flags=0 i2cf=0 cyc=0 tlm=off next=1 done=0 reason=none
1787958520.449 >>> GET max_duty #1
1787958520.467 ack 1 0 none
1787958520.467 get max_duty 100.000008
1787958521.472 >>> GET full_duty_velocity #2
1787958521.490 ack 2 0 none
1787958521.492 get full_duty_velocity 10795.000977
1787958522.500 >>> GET pid_kp #3
1787958522.515 ack 3 0 none
1787958522.515 get pid_kp 0.000000
1787958523.522 >>> GET pid_ki #4
1787958523.541 ack 4 0 none
1787958523.541 get pid_ki 6.000000
1787958524.548 >>> GET pid_i_max #5
1787958524.563 ack 5 0 none
1787958524.563 get pid_i_max 765.600037
1787958525.567 >>> GET pid_max #6
1787958525.579 ack 6 0 none
1787958525.579 get pid_max 1276.000000
1787958526.591 >>> GET twist_hold_gain #7
1787958526.611 ack 7 0 none
1787958526.611 get twist_hold_gain 2.000000
1787958527.619 >>> TLM FULL #8
1787958527.637 ack 8 0 none
1787958527.675 thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
1787958530.373 t 47 354431 31 50 1 189 52 0 -102 131 82 0 21 683 744 1600 800 0 0 0
1787958530.409 t 48 354487 31 50 1 189 52 0 -102 131 82 0 21 683 744 1600 800 0 0 0
1787958530.454 t 49 354543 31 50 1 189 52 0 -103 131 82 0 21 683 744 1600 800 0 0 0
1787958530.511 t 50 354599 31 50 1 189 52 0 -103 131 82 0 21 683 744 1600 800 0 0 0
1787958530.566 t 51 354655 31 50 1 189 52 0 -103 131 82 0 21 683 744 1600 800 0 0 0
1787958530.624 t 52 354711 31 50 1 189 52 0 -103 131 82 0 21 683 744 1600 800 0 0 0
1787958530.679 t 53 354767 31 50 1 189 52 0 -102 131 82 0 21 683 744 1600 800 0 0 0
1787958530.745 t 54 354823 31 50 1 189 52 0 -102 131 82 0 21 683 744 1600 800 0 0 0
1787958530.791 t 55 354879 31 50 1 189 52 0 -102 131 82 0 21 683 744 1600 800 0 0 0
1787958530.846 >>> STATUS
1787958530.848 t 56 354936 31 50 1 189 52 0 -102 131 82 0 21 683 744 1600 800 0 0 0
1787958530.867 status ready=1 active=1 connL=1 connR=1 otos=1 wedge=0 flags=31 i2cf=0 cyc=21 tlm=full next=10 done=9 reason=timeout
1787958530.905 t 57 354991 31 50 1 189 52 0 -102 131 82 0 21 683 744 1600 800 0 0 0
1787958530.959 thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
1787958530.970 t 58 355047 31 50 1 189 52 0 -102 131 82 0 21 683 744 1600 800 0 0 0
1787958531.014 t 59 355099 31 50 1 189 52 0 -102 131 82 0 21 683 744 1600 800 0 0 0
1787958531.067 t 60 355155 31 50 1 189 52 0 -102 131 82 0 21 683 744 1600 800 0 0 0
1787958531.124 t 61 355211 31 50 1 189 52 0 -102 131 82 0 21 683 744 1600 800 0 0 0
1787958531.180 t 62 355267 31 50 1 189 52 0 -102 131 82 0 21 683 744 1600 800 0 0 0
1787958531.235 t 63 355323 31 50 1 189 52 0 -102 131 82 0 21 683 744 1600 800 0 0 0
1787958531.289 t 64 355379 31 50 1 189 52 0 -102 131 82 0 21 683 744 1600 800 0 0 0
1787958531.345 t 65 355435 31 50 1 189 52 0 -102 131 82 0 21 683 744 1600 800 0 0 0
1787958531.402 t 66 355491 31 50 1 189 52 0 -102 131 82 0 21 683 744 1600 800 0 0 0
1787958531.461 t 67 355547 31 50 1 189 52 0 -103 131 82 0 21 683 744 1600 800 0 0 0
1787958531.517 t 68 355603 31 50 1 189 52 0 -103 131 82 0 21 683 744 1600 800 0 0 0
1787958531.571 t 69 355659 31 50 1 189 52 0 -103 131 82 0 21 683 744 1600 800 0 0 0
1787958531.628 t 70 355716 31 50 1 189 52 0 -103 131 82 0 21 683 744 1600 800 0 0 0
1787958531.682 t 71 355771 31 50 1 189 52 0 -103 131 82 0 21 683 744 1600 800 0 0 0
1787958531.739 t 72 355827 31 50 1 189 52 0 -103 131 82 0 21 683 744 1600 800 0 0 0
1787958531.809 t 73 355883 31 50 1 189 52 0 -103 131 82 0 21 683 744 1600 800 0 0 0
1787958531.849 === RUN FWD
1787958531.849 >>> WHEELS_V 2000 2000 3000 #10
1787958531.851 t 74 355939 31 50 1 189 52 0 -103 131 82 0 21 683 744 1600 800 0 0 0
1787958531.870 ack 10 9 timeout
1787958531.920 t 75 356007 31 130 91 9441 52 0 -103 40 130 0 23 927 3977 5000 5800 0 0 0
1787958531.992 t 76 356079 31 128 117 9726 52 0 -103 438 502 0 26 1241 4383 10000 10000 0 0 0
1787958532.065 thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
1787958532.075 t 77 356151 31 122 159 9955 52 0 -103 584 681 0 29 1811 5027 10000 10000 0 0 0
1787958532.139 t 78 356223 31 113 204 10268 52 0 -103 591 708 0 32 2427 5744 10000 10000 0 0 0
1787958532.208 t 79 356295 31 101 252 10534 52 0 -103 640 715 0 35 3080 6483 10000 10000 0 0 0
1787958532.279 t 80 356367 31 87 300 10757 52 0 -103 666 712 0 38 3755 7230 10000 10000 0 0 0
1787958532.352 t 81 356439 31 71 348 10918 52 0 -103 674 730 0 41 4450 7977 10000 10000 0 0 0
1787958532.425 t 82 356511 31 54 396 11085 52 0 -103 680 753 0 44 5152 8733 10000 10000 0 0 0
