seg,id,commanded_cm,moved_cm,x0,y0,h0,x1,y1,h1,dheading_deg,i2cf_before,i2cf_after,cyc_before,cyc_after,reason,done
1,4,4.0,3.239288028766449,30.18953363369312,-4.803304126818234,155.8593138685228,27.127809929284783,-3.745554207804426,160.72873936687625,4.869425498353451,6,7,66,87,stop,4
2,5,4.0,2.902018071760337,27.157662695901042,-3.643412783240267,159.43401258985526,24.42510098426813,-2.666266232849078,161.57884374983124,2.144831159975979,7,7,87,106,stop,5
3,6,4.0,2.8397730879241205,24.381300526943903,-2.8418835814783576,163.41807727274536,21.688084010108202,-1.9413859499759367,164.97552695738406,1.5574496846386978,7,7,106,124,stop,6
4,7,4.0,2.814334759707049,21.67135540083609,-1.9189653595569933,164.93846814925143,18.986664736394825,-1.074621723377241,166.15413324482657,1.2156650955751331,7,8,124,142,stop,7
5,8,4.0,3.041638433761899,18.94407748521157,-1.1341587790206382,166.78603939136073,15.931664078507618,-0.7135285033059248,171.2767819563971,4.490742565036356,8,8,142,161,stop,8
6,9,4.0,3.0521957153249692,15.93477461448439,-0.7045025370392383,171.1991973639217,12.938547910058228,-0.12267419437136724,172.63205112021012,1.4328537562884094,8,9,161,181,stop,9
7,10,4.0,3.144969866113856,12.89907175979593,-0.2694187186390912,174.5063315462828,9.817564400043235,0.35918914844035915,173.3218657507572,-1.1844657955255968,9,12,181,202,stop,10
8,11,4.0,3.0492223910687515,9.83072872221313,0.2683757756597856,174.38933636876297,6.7843021935172345,0.39892306767652697,177.06795759714717,2.678621228384202,12,13,202,222,stop,11
9,12,4.0,2.7462717310778104,6.79691631657077,0.25059502982257487,178.97558985132815,4.053857661456292,0.3834017898864623,179.20516779593962,0.22957794461146364,13,14,222,240,stop,12
10,13,4.0,2.9748634645081027,4.0368320204309605,0.3872169409741923,179.24722338754194,1.0620975442674039,0.4149194460790393,-179.00621264337138,1.746563969086651,14,15,240,259,stop,13
