turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,188,7,stop,91.03,1.03,91.05,28,85.96,-4.04,9.05,10.87,8.63,11.9,1.11,199,219,0.6,76,1
2,-90,188,8,stop,-90.19,-0.19,-90.58,27,-85.99,4.01,8.62,11.9,10.13,10.98,1.77,225,219,0.6,72,1
3,180,188,9,stop,180.72,0.72,181.19,28,174.68,-5.32,10.15,10.97,9.6,10.96,0.55,219,235,1.13,102,1
4,-180,188,10,stop,-179.56,0.44,-179.1,33,-174.76,5.24,9.6,10.96,10.75,11.83,1.44,209,229,1.14,99,1
5,-90,188,11,stop,-88.94,1.06,-88.29,15,-84.98,5.02,10.78,11.8,10.11,10.42,1.53,193,219,0.66,222,1
6,90,188,12,stop,90.01,0.01,91.06,16,86.15,-3.85,10.11,10.41,10.91,11.09,1.05,209,209,0.6,207,1
7,-180,188,13,stop,-179.11,0.89,-179.46,22,-174.41,5.59,10.89,11.09,9.38,9.74,2.02,202,235,1.49,201,1
8,180,188,14,stop,177.7,-2.3,177.96,17,174.65,-5.35,9.38,9.75,9.9,9.97,0.56,219,229,1.19,164,1
9,90,188,15,stop,92.48,2.48,93.42,17,85.75,-4.25,9.88,9.99,9.18,10.79,1.06,199,219,0.57,19,1
