leg,commanded_mm,cruise,id,reason,cam_len_mm,len_err_mm,lateral_mm,dheading_deg,x0,y0,x1,y1,peak_v,first_moving_v,max_accel,min_accel,tail_monotone,frames
0,600,100,7,stop,592.7,-7.3,-15.5,-0.3,-30.51,-2.93,28.75,-4.08,128,41.5,961.5384615384615,-378.78787878787875,True,264
1,-600,100,8,stop,594.3,-5.7,-2.5,0.32,28.76,-4.13,-30.66,-3.3,138,36.0,356.06060606060606,-719.6969696969696,False,187
2,600,100,9,stop,593.5,-6.5,-15.3,-1.63,-30.66,-3.29,28.67,-4.63,138,13.0,818.1818181818181,-393.93939393939394,True,178
3,-600,100,10,stop,590.7,-9.3,13.0,2.51,28.65,-4.69,-30.4,-3.56,128,14.5,361.11111111111114,-757.5757575757575,False,189
4,600,100,11,stop,594.5,-5.5,-22.6,-2.08,-30.41,-3.55,29.01,-5.48,128,5.0,772.7272727272726,-327.27272727272725,False,192
5,-600,100,12,stop,596.0,-4.0,18.8,3.16,29.01,-5.57,-30.58,-4.46,135,28.0,370.3703703703704,-545.4545454545454,False,188
