turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,0,5,stop,97.1,7.1,95.68,9,,,8.69,1.99,9.45,1.35,1.0,,,0.0,0,1
2,-90,0,6,stop,-95.1,-5.1,-0.94,9,,,9.45,1.35,9.97,1.09,0.58,,,0.0,0,1
3,180,0,7,stop,185.25,5.25,-173.49,10,,,9.97,1.1,11.49,-0.54,2.23,,,0.0,0,1
4,-180,0,8,stop,-184.94,-4.94,-187.6,8,,,11.48,-0.54,12.43,0.47,1.38,,,0.0,0,1
5,-90,0,9,stop,-97.66,-7.66,-97.71,11,,,12.42,0.47,12.16,-0.2,0.71,,,0.0,0,1
6,90,0,10,stop,100.66,10.66,100.53,14,,,12.16,-0.2,11.38,-0.07,0.79,,,0.0,0,1
7,-180,0,11,stop,-175.95,4.05,-175.57,11,,,11.38,-0.07,7.89,-0.24,3.49,,,0.0,0,1
8,180,0,12,stop,183.06,3.06,182.99,13,,,7.88,-0.25,7.24,1.49,1.85,,,0.0,0,1
