1788576557.165 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=26 cyc=169 tlm=off next=4 done=3 reason=stop
1788576557.402 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=26 cyc=169 tlm=off next=4 done=3 reason=stop
1788576557.647 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=26 cyc=169 tlm=off next=4 done=3 reason=stop
1788576557.862 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=26 cyc=169 tlm=off next=4 done=3 reason=stop
1788576558.087 DBG:wifi state=0 ip=- peer=-:0 tcp=0/0 to=4 restarts=0 sent=0 rx=0 drop=0 mdns=0/0 cmd= reply=
1788576558.087 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=26 cyc=169 tlm=off next=4 done=3 reason=stop
1788576558.309 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=26 cyc=169 tlm=off next=4 done=3 reason=stop
1788576558.532 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=26 cyc=169 tlm=off next=4 done=3 reason=stop
1788576558.762 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=26 cyc=169 tlm=off next=4 done=3 reason=stop
1788576558.996 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=26 cyc=169 tlm=off next=4 done=3 reason=stop
1788576559.221 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=26 cyc=169 tlm=off next=4 done=3 reason=stop
1788576559.457 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=26 cyc=169 tlm=off next=4 done=3 reason=stop
1788576559.508 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=26 cyc=169 tlm=off next=4 done=3 reason=stop
1788576559.818 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=26 cyc=169 tlm=off next=4 done=3 reason=stop
1788576560.048 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=26 cyc=169 tlm=off next=4 done=3 reason=stop
1788576560.277 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=26 cyc=169 tlm=off next=4 done=3 reason=stop
1788576560.505 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=26 cyc=169 tlm=off next=4 done=3 reason=stop
1788576560.584 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=26 cyc=169 tlm=off next=4 done=3 reason=stop
1788576560.881 ack 4 3 stop
1788576560.881 status ready=1 active=1 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=27 cyc=172 tlm=off next=5 done=3 reason=stop
1788576561.119 status ready=1 active=1 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=28 cyc=182 tlm=off next=5 done=3 reason=stop
1788576561.352 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=28 cyc=193 tlm=off next=5 done=4 reason=stop
1788576561.576 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=28 cyc=193 tlm=off next=5 done=4 reason=stop
1788576561.814 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=28 cyc=193 tlm=off next=5 done=4 reason=stop
1788576562.037 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=28 cyc=193 tlm=off next=5 done=4 reason=stop
1788576562.268 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=28 cyc=193 tlm=off next=5 done=4 reason=stop
1788576562.497 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=28 cyc=193 tlm=off next=5 done=4 reason=stop
1788576562.724 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=28 cyc=193 tlm=off next=5 done=4 reason=stop
1788576562.791 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=28 cyc=193 tlm=off next=5 done=4 reason=stop
1788576563.081 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=28 cyc=193 tlm=off next=5 done=4 reason=stop
1788576563.135 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=28 cyc=193 tlm=off next=5 done=4 reason=stop
1788576563.437 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=28 cyc=193 tlm=off next=5 done=4 reason=stop
1788576563.662 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=28 cyc=193 tlm=off next=5 done=4 reason=stop
1788576563.896 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=28 cyc=193 tlm=off next=5 done=4 reason=stop
1788576564.127 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=28 cyc=193 tlm=off next=5 done=4 reason=stop
1788576564.351 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=28 cyc=193 tlm=off next=5 done=4 reason=stop
1788576564.573 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=28 cyc=193 tlm=off next=5 done=4 reason=stop
1788576564.628 ack 5 4 stop
