RUN:clearestop -> ESTOP:cleared
STATUS pre: status ready=1 active=0 connL=1 connR=1 otos=1 wedge=0 flags=31 i2cf=118 cyc=5966 tlm=off next=1 done=10 reason=timeout
GET accel -> ack 1 10 timeout
--- rep 1: pose before (19.05,-5.28,48.45) ---
DBG:wifi state=0 ip=- peer=-:0 tcp=0/0 to=4 restarts=0 sent=0 rx=0 drop=0 mdns=0/0 cmd= reply=
ack 2 10 timeout
thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
t 54 3399455 31 -93 -126 104733 165 28 8745 0 0 123 6040 -15934 11900 0 0 0 0 0
t 55 3399511 31 -93 -126 104733 165 28 8745 0 0 123 6040 -15934 11900 0 0 0 0 0
t 56 3399567 31 -93 -126 104733 165 28 8745 0 0 123 6040 -15934 11900 0 0 0 0 0
t 57 3399623 31 -93 -126 104733 165 28 8746 0 0 123 6040 -15934 11900 0 0 0 0 0
thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
t 58 3399679 31 -93 -126 104733 165 28 8746 0 0 123 6040 -15934 11900 0 0 0 0 0
t 59 3399731 31 -93 -126 104733 165 28 8746 0 0 123 6040 -15934 11900 0 0 0 0 0
t 60 3399787 31 -93 -126 104733 165 28 8746 0 0 123 6040 -15934 11900 0 0 0 0 0
t 61 3399843 31 -93 -126 104733 165 28 8746 0 0 123 6040 -15934 11900 0 0 0 0 0
t 62 3399899 31 -93 -126 104733 165 28 8746 0 0 123 6040 -15934 11900 0 0 0 0 0
t 63 3399955 31 -93 -126 104733 165 28 8746 0 0 123 6040 -15934 11900 0 0 0 0 0
t 64 3400011 31 -93 -126 104733 165 28 8746 0 0 123 6040 -15934 11900 0 0 0 0 0
t 65 3400067 31 -93 -126 104733 165 28 8746 0 0 123 6040 -15934 11900 0 0 0 0 0
t 66 3400123 31 -93 -126 104733 165 28 8746 0 0 123 6040 -15934 11900 0 0 0 0 0
t 67 3400179 31 -93 -126 104733 165 28 8746 0 0 123 6040 -15934 11900 0 0 0 0 0
t 68 3400235 31 -93 -126 104733 165 28 8746 0 0 123 6040 -15934 11900 0 0 0 0 0
t 69 3400291 31 -93 -126 104733 165 28 8746 0 0 123 6040 -15934 11900 0 0 0 0 0
DBG:wifi state=0 ip=- peer=-:0 tcp=0/0 to=4 restarts=0 sent=0 rx=0 drop=0 mdns=0/0 cmd= reply=
t 70 3400347 31 -93 -126 104733 165 28 8746 0 0 123 6040 -15934 11900 0 0 0 0 0
t 71 3400403 31 -93 -126 104733 165 28 8746 0 0 123 6040 -15934 11900 0 0 0 0 0
t 72 3400459 31 -93 -126 104733 165 28 8746 0 0 123 6040 -15934 11900 0 0 0 0 0
t 73 3400515 31 -93 -126 104733 165 28 8746 0 0 123 6040 -15934 11900 0 0 0 0 0
t 74 3400571 31 -93 -126 104733 165 28 8746 0 0 123 6040 -15934 11900 0 0 0 0 0
t 75 3400627 31 -93 -126 104733 165 28 8746 0 0 123 6040 -15934 11900 0 0 0 0 0
t 76 3400683 31 -93 -126 104733 165 28 8746 0 0 123 6040 -15934 11900 0 0 0 0 0
thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
t 77 3400739 31 -93 -126 104733 165 28 8747 0 0 123 6040 -15934 11900 0 0 0 0 0
t 78 3400791 31 -93 -126 104733 165 28 8747 0 0 123 6040 -15934 11900 0 0 0 0 0
t 79 3400847 31 -93 -126 104733 165 28 8747 0 0 123 6040 -15934 11900 0 0 0 0 0
t 80 3400903 31 -93 -126 104733 165 28 8747 0 0 123 6040 -15934 11900 0 0 0 0 0
t 81 3400959 31 -93 -126 104733 165 28 8747 0 0 123 6040 -15934 11900 0 0 0 0 0
t 82 3401015 31 -93 -126 104733 165 28 8747 0 0 123 6040 -15934 11900 0 0 0 0 0
t 83 3401071 31 -93 -126 104733 165 28 8747 0 0 123 6040 -15934 11900 0 0 0 0 0
t 84 3401127 31 -93 -126 104733 165 28 8747 0 0 123 6040 -15934 11900 0 0 0 0 0
t 85 3401183 31 -93 -126 104733 165 28 8747 0 0 123 6040 -15934 11900 0 0 0 0 0
t 86 3401239 31 -93 -126 104733 165 28 8747 0 0 123 6040 -15934 11900 0 0 0 0 0
t 87 3401295 31 -93 -126 104733 165 28 8747 0 0 123 6040 -15934 11900 0 0 0 0 0
t 88 3401351 31 -93 -126 104733 165 28 8747 0 0 123 6040 -15934 11900 0 0 0 0 0
t 89 3401407 31 -93 -126 104733 165 28 8748 0 0 123 6040 -15934 11900 0 0 0 0 0
t 90 3401463 31 -93 -126 104733 165 28 8748 0 0 123 6040 -15934 11900 0 0 0 0 0
t 91 3401519 31 -93 -126 104733 165 28 8748 0 0 123 6040 -15934 11900 0 0 0 0 0
t 92 3401575 31 -93 -126 104733 165 28 8748 0 0 123 6040 -15934 11900 0 0 0 0 0
t 93 3401631 31 -93 -126 104733 165 28 8748 0 0 123 6040 -15934 11900 0 0 0 0 0
t 94 3401687 31 -93 -126 104733 165 28 8748 0 0 123 6040 -15934 11900 0 0 0 0 0
t 95 3401743 31 -93 -126 104733 165 28 8748 0 0 123 6040 -15934 11900 0 0 0 0 0
thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
t 96 3401799 31 -93 -126 104733 165 28 8748 0 0 123 6040 -15934 11900 0 0 0 0 0
t 97 3401851 31 -93 -126 104733 165 28 8748 0 0 123 6040 -15934 11900 0 0 0 0 0
t 98 3401907 31 -93 -126 104733 165 28 8748 0 0 123 6040 -15934 11900 0 0 0 0 0
t 99 3401963 31 -93 -126 104733 165 28 8748 0 0 123 6040 -15934 11900 0 0 0 0 0
t 100 3402019 31 -93 -126 104733 165 28 8748 0 0 123 6040 -15934 11900 0 0 0 0 0
t 101 3402075 31 -93 -126 104733 165 28 8749 0 0 123 6040 -15934 11900 0 0 0 0 0
t 102 3402131 31 -93 -126 104733 165 28 8749 0 0 123 6040 -15934 11900 0 0 0 0 0
t 103 3402187 31 -93 -126 104733 165 28 8749 0 0 123 6040 -15934 11900 0 0 0 0 0
t 104 3402243 31 -93 -126 104733 165 28 8749 0 0 123 6040 -15934 11900 0 0 0 0 0
t 105 3402299 31 -93 -126 104733 165 28 8749 0 0 123 6040 -15934 11900 0 0 0 0 0
t 106 3402355 31 -93 -126 104733 165 28 8749 0 0 123 6040 -15934 11900 0 0 0 0 0
t 107 3402411 31 -93 -126 104733 165 28 8749 0 0 123 6040 -15934 11900 0 0 0 0 0
t 108 3402467 31 -93 -126 104733 165 28 8749 0 0 123 6040 -15934 11900 0 0 0 0 0
t 109 3402523 31 -93 -126 104733 165 28 8749 0 0 123 6040 -15934 11900 0 0 0 0 0
t 110 3402579 31 -93 -126 104733 165 28 8749 0 0 123 6040 -15934 11900 0 0 0 0 0
t 111 3402635 31 -93 -126 104733 165 28 8749 0 0 123 6040 -15934 11900 0 0 0 0 0
t 112 3402691 31 -93 -126 104733 165 28 8749 0 0 123 6040 -15934 11900 0 0 0 0 0
t 113 3402747 31 -93 -126 104733 165 28 8749 0 0 123 6040 -15934 11900 0 0 0 0 0
t 114 3402803 31 -93 -126 104733 165 28 8749 0 0 123 6040 -15934 11900 0 0 0 0 0
thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
t 115 3402859 31 -93 -126 104733 165 28 8750 0 0 123 6040 -15934 11900 0 0 0 0 0
t 116 3402911 31 -93 -126 104733 165 28 8750 0 0 123 6040 -15934 11900 0 0 0 0 0
t 117 3402967 31 -93 -126 104733 165 28 8750 0 0 123 6040 -15934 11900 0 0 0 0 0
t 118 3403023 31 -93 -126 104733 165 28 8750 0 0 123 6040 -15934 11900 0 0 0 0 0
t 119 3403079 31 -93 -126 104733 165 28 8750 0 0 123 6040 -15934 11900 0 0 0 0 0
t 120 3403135 31 -93 -126 104733 165 28 8750 0 0 123 6040 -15934 11900 0 0 0 0 0
t 121 3403191 31 -93 -126 104733 165 28 8750 0 0 123 6040 -15934 11900 0 0 0 0 0
t 122 3403247 31 -93 -126 104733 165 28 8750 0 0 123 6040 -15934 11900 0 0 0 0 0
t 123 3403303 31 -93 -126 104733 165 28 8751 0 0 123 6040 -15934 11900 0 0 0 0 0
t 124 3403359 31 -93 -126 104733 165 28 8751 0 0 123 6040 -15934 11900 0 0 0 0 0
t 125 3403415 31 -93 -126 104733 165 28 8751 0 0 123 6040 -15934 11900 0 0 0 0 0
t 126 3403471 31 -93 -126 104733 165 28 8751 0 0 123 6040 -15934 11900 0 0 0 0 0
t 127 3403527 31 -93 -126 104733 165 28 8751 0 0 123 6040 -15934 11900 0 0 0 0 0
t 0 3403583 31 -93 -126 104733 165 28 8751 0 0 123 6040 -15934 11900 0 0 0 0 0
t 1 3403639 31 -93 -126 104733 165 28 8751 0 0 123 6040 -15934 11900 0 0 0 0 0
t 2 3403695 31 -93 -126 104733 165 28 8751 0 0 123 6040 -15934 11900 0 0 0 0 0
t 3 3403751 31 -93 -126 104733 165 28 8751 0 0 123 6040 -15934 11900 0 0 0 0 0
t 4 3403807 31 -93 -126 104733 165 28 8751 0 0 123 6040 -15934 11900 0 0 0 0 0
t 5 3403863 31 -93 -126 104733 165 28 8751 0 0 123 6040 -15934 11900 0 0 0 0 0
thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
t 6 3403919 31 -93 -126 104733 165 28 8751 0 0 123 6040 -15934 11900 0 0 0 0 0
t 7 3403971 31 -93 -126 104733 165 28 8751 0 0 123 6040 -15934 11900 0 0 0 0 0
t 8 3404027 31 -93 -126 104733 165 28 8751 0 0 123 6040 -15934 11900 0 0 0 0 0
t 9 3404083 31 -93 -126 104733 165 28 8752 0 0 123 6040 -15934 11900 0 0 0 0 0
t 10 3404139 31 -93 -126 104733 165 28 8752 0 0 123 6040 -15934 11900 0 0 0 0 0
t 11 3404195 31 -93 -126 104733 165 28 8752 0 0 123 6040 -15934 11900 0 0 0 0 0
t 12 3404251 31 -93 -126 104733 165 28 8752 0 0 123 6040 -15934 11900 0 0 0 0 0
t 13 3404307 31 -93 -126 104733 165 28 8752 0 0 123 6040 -15934 11900 0 0 0 0 0
t 14 3404363 31 -93 -126 104733 165 28 8752 0 0 123 6040 -15934 11900 0 0 0 0 0
