seg,id,commanded_cm,moved_cm,x0,y0,h0,x1,y1,h1,dheading_deg,i2cf_before,i2cf_after,cyc_before,cyc_after,reason,done
1,4,4.0,3.2174378706846896,-34.959006270627924,20.34863714783941,4.0127394865392665,-31.742231699293672,20.413965617386523,4.2043202248580105,0.19158073831874844,4,4,68,88,stop,4
2,5,4.0,3.1442648834796203,-31.739790708513368,20.396086587667412,3.947531726392967,-28.601783103662758,20.594353905657155,5.787418792757704,1.8398870663647244,4,6,88,108,stop,5
3,6,4.0,2.8927585706861305,-28.600735680575426,20.60987585847313,5.936367908358113,-25.73983460689735,21.0380080750905,7.926461466755196,1.990093558397092,6,7,108,126,stop,6
4,7,4.0,2.9072190499237367,-25.759246713171777,21.063069743529024,8.394524877203828,-22.889117749421846,21.525976144093136,11.09315086825864,2.6986259910548256,7,7,126,145,stop,7
5,8,4.0,2.9473249139818734,-22.887492693569992,21.546665361643992,11.181659848754357,-19.965843420529524,21.934853040377305,11.682047575443278,0.5003877266889276,7,7,145,164,stop,8
6,9,4.0,2.982280345509874,-19.988419480863815,21.943301111756124,11.892574169373523,-17.07002040893121,22.557257882349464,13.004723238215165,1.1121490688416316,7,7,164,183,stop,9
7,10,4.0,3.072960765358593,-17.081410437229696,22.498254302388375,12.876604071434846,-14.125438275421581,23.338085502123615,15.10215402613327,2.2255499546984367,7,7,183,203,stop,10
8,11,4.0,2.8891767167009967,-14.167038777891904,23.509935642027937,17.250223164886215,-11.342565597445365,24.117959780747253,16.16931555649865,-1.0809076083875766,7,8,203,222,stop,11
9,12,4.0,2.940727454750962,-11.366324809935298,24.154683802536468,16.73195474819257,-8.550833434623565,25.00373402406127,18.53190960887387,1.7999548606813107,8,9,222,241,stop,12
10,13,4.0,2.9948399508736263,-8.576094534395759,25.055578412795146,18.96981411675069,-5.653437280331311,25.70913859105971,17.806405684147194,-1.1634084326034895,9,10,241,260,stop,13
