t,x,y,heading,speed
1788492169.0811388,40.19287072300975,-16.342916489752103,111.3136659825168,0.0
1788492169.3267572,40.19365374920673,-16.364784732841432,110.37218440772301,0.0
1788492169.544279,40.2390731063852,-16.363973494077943,111.08094076082693,0.0
1788492169.809263,40.24268746250588,-16.37155203251131,109.77124735962997,0.0
1788492170.099286,40.21448691863344,-16.404123357194976,111.36865501888349,0.0
1788492170.3211951,40.23675406880414,-16.345589592142925,109.77124735962997,0.0
1788492170.626834,40.20362630635135,-16.384054763410774,111.38742591411585,0.0
1788492170.839069,40.222047160692725,-16.32755819524033,110.92688197284093,0.0
1788492171.822669,40.238100076088124,-16.36799705260912,109.77124735962997,0.0
1788492172.0838468,40.22794600852738,-16.357085051763928,110.64435067365281,0.0
1788492172.316554,40.22809223011595,-16.353080477025372,110.90269998617043,0.0
1788492172.568667,40.202812728195504,-16.34806338924659,111.48019381545845,0.0
1788492172.762985,40.216015174582985,-16.41267622340696,110.42555009221121,0.0
1788492173.030668,40.17698361206629,-16.342210330855096,111.7878891268191,0.0
1788492173.280719,40.21573130720924,-16.40589917153076,110.1809221882719,0.0
1788492173.547822,40.23846268365348,-16.365140969016696,109.77124735962997,0.0
1788492173.759752,40.18830548959526,-16.39674907310234,112.14954103151513,0.0
1788492173.929336,40.2107217932867,-16.397790643322125,111.51377210173393,0.0
1788492174.130054,40.23526073977834,-16.367980091882732,109.77124735962997,0.0
1788492174.358887,40.19981275577669,-16.374163191892258,110.99453107915963,0.0
1788492174.666226,40.222903239661605,-16.40042306956859,111.29671502263812,0.0
1788492174.8733408,40.2031497059299,-16.398464254929785,111.6622971688576,0.0
1788492175.08445,40.17217663759587,-16.385224907751542,112.18875510566892,0.0
1788492175.321511,40.24154783781728,-16.365371633260338,110.98747197297797,0.0
1788492175.5219269,40.23640907638608,-16.368513757622658,109.77124735962997,0.0
1788492175.7160058,40.2902321444161,-16.521677190872396,116.6104068180037,0.0
1788492175.906415,40.43856463389518,-16.73123238196148,133.40867492571635,0.0
1788492176.226835,40.652395611031615,-16.881462848028832,161.8694156638345,0.0
1788492176.375768,40.707385423454426,-16.83003338534215,-161.90170896712362,0.0
1788492176.634024,40.67255379318165,-16.964463804536592,-157.37657547015846,0.0
1788492176.736183,40.66553080227052,-16.954660245491223,-157.6550454945624,0.0
1788492176.9008582,40.64951333859191,-16.96089497841813,-157.6371805517157,0.0
1788492177.0544379,40.65488091491048,-16.94325451314468,-158.48597210013327,0.0
1788492177.1982028,40.62583301124514,-16.936975111986044,-157.9702547381878,0.0
1788492177.338946,40.68388162366589,-16.945932397568217,-157.66663539942653,0.0
1788492177.709847,40.62421353751272,-16.972773572783318,-157.37585479363804,0.0
1788492177.750271,40.67687964776596,-16.975052193593392,-157.21813238391405,0.0
1788492178.10346,40.60923484964925,-16.94764851367845,-158.73286197942116,0.0
1788492178.1786199,40.67072156181961,-16.96035375923492,-157.27551157627988,0.0
1788492178.380878,40.66620349809536,-16.967919010117257,-157.84267088482818,0.0
1788492178.627434,40.660689776150356,-16.950471470482476,-157.48683106179737,0.0
1788492178.8258739,40.6483819005485,-16.949086525803327,-158.27846255973833,0.0
1788492179.016682,40.634757961871706,-16.950259557925524,-157.97847614680956,0.0
1788492179.22046,40.64478577775081,-16.967054925410434,-157.44785111132273,0.0
1788492179.4203079,40.66899929095341,-16.955521210800146,-157.61470789420383,0.0
1788492179.676149,40.66266945106387,-16.977036651025234,-157.4499201015155,0.0
1788492179.9015281,40.64959506105143,-16.941048839802665,-158.60043869164065,0.0
1788492180.187915,40.62485737481915,-16.971911397826265,-157.5745210696615,0.0
1788492180.42629,40.64287497969459,-16.96270458225634,-157.52465917980987,0.0
1788492180.68114,40.62635045181184,-16.94212692170031,-157.12715093323743,0.0
1788492181.215849,40.629359684066046,-16.965302770852393,-158.0000898608995,0.0
1788492181.612808,40.62706648708923,-16.909214807220742,-158.20640835207234,0.0
1788492182.342796,40.60084009654173,-16.933940144635468,-158.3514590575761,0.0
1788492182.711841,40.66198237719867,-16.952706613472714,-157.82724537898872,0.0
1788492182.9549062,40.677746798574084,-16.951611007618823,-157.68516218078378,0.0
1788492183.22865,40.66582461055068,-16.942768715946876,-157.53912316670767,0.0
1788492183.4627771,40.628334444019345,-16.932300545876664,-158.28095491287615,0.0
1788492183.705274,40.642825299837504,-16.96519701636358,-157.21195209154007,0.0
1788492183.984861,40.600899733846596,-16.95098010014878,-158.79973849835545,0.0
1788492184.184408,40.61951189449658,-16.977712698358733,-157.46647708105024,0.0
1788492184.371135,40.64588333186775,-16.944592395650375,-158.5278139084944,0.0
1788492184.5958028,40.67466986281248,-16.951957012434388,-157.6100795700246,0.0
1788492184.922291,40.66136462996336,-16.958369074982663,-157.75063661006254,0.0
1788492185.1473532,40.655139662689876,-16.940094606239718,-158.01009824256084,0.0
1788492185.459466,40.64188263671388,-16.94912605249714,-158.0025856279404,0.0
1788492185.906664,40.65156865769668,-16.953544526933413,-157.9012375136699,0.0
1788492186.2580302,40.66869563844526,-16.965952248426923,-157.50036308810797,0.0
1788492186.609632,40.65168692446395,-16.945179845085562,-158.56081810133503,0.0
1788492186.827447,40.66087678336818,-16.969416056196824,-157.97585920808854,0.0
1788492187.012804,40.64296170427027,-16.87007981506083,-163.54986837079008,0.0
1788492187.20131,40.68955832704757,-16.94765299129947,-177.16182143335936,0.0
1788492187.396585,40.78717251875016,-17.060305426914308,151.47959393393148,0.0
1788492187.60338,40.899880723096906,-17.13441952419344,120.53762910072504,0.0
1788492187.831079,40.81379990493619,-17.13871517748195,111.12008429061717,0.0
1788492187.9951308,40.83856441724171,-17.104562730861424,111.08502270393956,0.0
1788492188.0748658,40.84962058845924,-17.09426711508201,110.96481108414253,0.0
1788492188.338679,40.80450183991289,-17.123800251644038,111.18083908553433,0.0
1788492188.5784478,40.85026514944263,-17.08585292108704,111.21579933593841,0.0
1788492188.73312,40.84653512192114,-17.102919924756094,111.37040702834406,0.0
1788492188.8661,40.80738265364596,-17.12314077319797,111.33354757357012,0.0
1788492189.1583061,40.80996903883957,-17.13115150626799,111.29217734181225,0.0
1788492189.210367,40.806379183671886,-17.140743788565743,111.61005167648631,0.0
1788492189.377803,40.85270505296862,-17.110432757453015,111.45035788151182,0.0
1788492189.458355,40.83602015585391,-17.109595812268136,111.90628533259894,0.0
1788492189.650496,40.84526169007777,-17.104972765462346,110.7525146315262,0.0
1788492189.8560371,40.85800845835025,-17.112822575494945,111.25857892295221,0.0
1788492190.039196,40.78802376728005,-17.114495358407364,111.74403083381435,0.0
1788492190.231733,40.86982084597486,-17.128921188829636,110.34227718667262,0.0
1788492190.4775429,40.80317850079865,-17.134602666713057,111.69321836224356,0.0
1788492190.6996741,40.807685400093035,-17.12839049452636,111.4752504141702,0.0
1788492190.957911,40.80332766554737,-17.127469673662304,111.56732679828542,0.0
1788492191.166775,40.80398278505106,-17.129980740863736,111.53258598017055,0.0
1788492191.454415,40.847290519293125,-17.09901716917438,111.57401600073081,0.0
1788492191.623905,40.78564231631552,-17.109088625284688,111.60828954271568,0.0
1788492191.903741,40.80540306280396,-17.142371625940257,111.49343344720808,0.0
1788492192.089588,40.83752679147,-17.109804357428757,111.64105840110756,0.0
1788492192.289541,40.88489040065807,-17.07559189762874,111.10294503529013,0.0
1788492193.020571,40.84854283499596,-17.113829731721466,111.76193704613064,0.0
1788492193.277795,40.7945809309302,-17.097994222816183,111.5201919183769,0.0
1788492193.4712162,40.81960496994513,-17.099038257560586,111.83359515399206,0.0
1788492193.686201,40.80611132278019,-17.130003354442916,111.48756574013316,0.0
1788492193.9549959,40.80233999838577,-17.12802072096994,111.63374865792497,0.0
1788492194.203291,40.79360993506239,-17.109689609641393,111.62823217329708,0.0
1788492194.47338,40.83557501071209,-17.09451023276672,111.88723821846156,0.0
1788492194.65972,40.80205774735097,-17.12997746414032,111.65532492222508,0.0
1788492194.8640819,40.8409624456335,-17.10578243973487,110.83277806866431,0.0
1788492195.1376672,40.844636474299094,-17.104708987082706,111.68123280344474,0.0
1788492195.3842418,40.810704721293796,-17.128538579935956,111.14047254910378,0.0
1788492195.65503,40.81341339943102,-17.128992689794448,111.1463904434857,0.0
1788492195.915112,40.83619691630561,-17.10888749516816,110.94510399024563,0.0
1788492196.217196,40.83238958828656,-17.079713460238583,111.89397242799646,0.0
1788492196.4590878,40.8051025853878,-17.137675340305947,111.73604421891736,0.0
1788492196.777885,40.836173822183255,-17.07910184017667,111.6382197777641,0.0
1788492196.988655,40.83700679235477,-17.10527595781988,110.995446429771,0.0
1788492197.163247,40.894249311428936,-17.15281956077489,111.83795362751027,0.0
