1787956325.340 >>> HELLO
1787956325.355 device NEZHA2 robot gopiv 2175407711
1787956326.360 >>> GET max_duty #1
1787956326.380 ack 1 4 timeout
1787956326.380 get max_duty 100.000008
1787956327.385 >>> GET full_duty_velocity #2
1787956327.405 ack 2 4 timeout
1787956327.408 get full_duty_velocity 10795.000977
1787956328.413 >>> GET pid_ki #3
1787956328.426 ack 3 4 timeout
1787956328.428 get pid_ki 6.000000
1787956329.432 >>> GET pid_i_max #4
1787956329.446 ack 4 4 timeout
1787956329.446 get pid_i_max 765.600037
1787956330.530 >>> GET pid_kp #5
1787956330.547 ack 5 4 timeout
1787956330.548 get pid_kp 0.000000
1787956331.582 >>> GET pid_kaff #6
1787956331.602 ack 6 4 timeout
1787956331.602 err 1 #6
1787956332.619 >>> GET pid_max #7
1787956332.639 ack 7 4 timeout
1787956332.639 get pid_max 1276.000000
1787956333.657 >>> GET twist_hold_gain #8
1787956333.679 ack 8 4 timeout
1787956333.679 get twist_hold_gain 2.000000
1787956334.682 >>> TLM FULL #9
1787956334.701 ack 9 4 timeout
1787956334.705 thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
1787956337.273 t 124 1008145 31 1184 -118 -5227 0 0 0 764 755 0 336 15116 13727 10000 10000 0 0 0
1787956337.343 t 125 1008217 31 1217 -161 -5287 0 0 0 765 748 0 339 15816 14411 10000 10000 0 0 0
1787956337.415 t 126 1008289 31 1249 -205 -5362 0 0 0 765 739 0 342 16519 15094 10000 10000 0 0 0
1787956337.489 t 127 1008361 31 1281 -250 -5464 0 0 0 765 750 0 345 17227 15775 10000 10000 0 0 0
1787956337.559 t 0 1008433 31 1312 -295 -5603 0 0 0 785 749 0 348 17939 16450 10000 10000 0 0 0
1787956337.636 t 1 1008505 31 1342 -340 -5667 0 0 0 759 739 0 351 18639 17133 10000 10000 0 0 0
1787956337.704 t 2 1008577 31 1372 -386 -5689 0 0 0 769 765 0 354 19339 17827 10000 10000 0 0 0
1787956337.776 t 3 1008649 31 1402 -432 -5750 0 0 0 785 754 0 357 20044 18516 10000 10000 0 0 0
1787956337.847 t 4 1008721 31 1430 -479 -5874 0 0 0 784 739 0 360 20755 19194 10000 10000 0 0 0
1787956337.919 t 5 1008793 31 1458 -526 -6032 0 0 0 814 739 0 363 21475 19872 10000 10000 0 0 0
1787956337.991 t 6 1008865 31 1485 -574 -6039 0 0 0 774 758 0 366 22169 20564 10000 10000 0 0 0
1787956338.071 t 7 1008937 31 1512 -622 -6073 0 0 0 765 765 0 369 22869 21255 10000 10000 0 0 0
1787956338.138 t 8 1009009 31 1538 -670 -6122 0 0 0 781 768 0 372 23577 21950 10000 10000 0 0 0
1787956338.208 t 9 1009081 31 1564 -719 -6227 0 0 0 791 739 0 375 24291 22636 10000 10000 0 0 0
1787956338.279 t 10 1009153 31 1589 -768 -6344 0 0 0 791 745 0 378 25002 23316 10000 10000 0 0 0
1787956338.360 t 11 1009225 31 1613 -817 -6408 0 0 0 775 755 0 381 25708 24005 10000 10000 0 0 0
1787956338.426 thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
1787956338.431 t 12 1009297 31 1637 -867 -6416 0 0 0 765 769 0 384 26405 24700 10000 10000 0 0 0
