1787956216.602 >>> HELLO
1787956216.636 device NEZHA2 robot gopiv 2175407711
1787956217.660 >>> VER
1787956217.696 ver 0.20260827.2
1787956218.708 >>> STATUS
1787956218.735 status ready=0 active=0 connL=0 connR=0 otos=0 wedge=0 flags=0 i2cf=0 cyc=0 tlm=off next=1 done=0 reason=none
1787956219.744 >>> TLM POSE #1
1787956219.798 ack 1 0 none
1787956219.809 thdr seq now flags x y h ox oy oh vl vr i2cf
1787956224.048 t 77 894919 31 39 -1 -147 0 0 0 108 128 0
1787956224.098 t 78 894971 31 39 -1 -147 0 0 0 108 128 0
1787956224.194 t 79 895025 31 39 -1 -147 0 0 0 108 128 0
1787956224.203 t 80 895075 31 39 -1 -147 0 0 0 108 128 0
1787956224.257 t 81 895129 31 39 -1 -147 0 0 0 108 128 0
1787956224.306 t 82 895179 31 39 -1 -147 0 0 0 108 128 0
1787956224.360 t 83 895233 31 39 -1 -147 0 0 0 108 128 0
1787956224.409 t 84 895283 31 39 -1 -147 0 0 0 108 128 0
1787956224.461 >>> WHEELS_V 2000 2000 3000 #3
1787956224.464 t 85 895337 31 39 -1 -147 0 0 0 108 128 0
1787956224.469 ack 3 2 timeout
1787956224.524 t 86 895397 31 59 -2 -23 0 0 0 34 31 0
1787956224.595 t 87 895469 31 80 -2 -83 0 0 0 456 411 0
1787956224.668 t 88 895541 31 123 -3 -230 0 0 0 647 591 0
1787956224.741 t 89 895613 31 171 -6 -459 0 0 0 729 673 0
1787956224.812 t 90 895685 31 223 -11 -587 0 0 0 723 712 0
1787956224.893 t 91 895757 31 275 -17 -689 0 0 0 744 712 0
1787956224.957 t 92 895829 31 327 -24 -771 0 0 0 748 702 0
1787956225.039 t 93 895901 31 378 -31 -877 0 0 0 739 693 0
1787956225.101 t 94 895973 31 430 -40 -1016 0 0 0 747 709 0
1787956225.174 t 95 896045 31 482 -50 -1159 0 0 0 755 712 0
1787956225.253 thdr seq now flags x y h ox oy oh vl vr i2cf
1787956225.253 t 96 896117 31 534 -61 -1253 0 0 0 755 739 0
1787956225.319 t 97 896189 31 586 -73 -1347 0 0 0 739 720 0
1787956225.390 t 98 896261 31 637 -86 -1445 0 0 0 749 709 0
1787956225.461 t 99 896333 31 688 -100 -1547 0 0 0 748 712 0
1787956225.535 t 100 896405 31 739 -115 -1693 0 0 0 768 713 0
1787956225.611 t 101 896477 31 790 -131 -1810 0 0 0 768 738 0
1787956225.687 t 102 896549 31 841 -148 -1848 0 0 0 746 748 0
1787956225.748 t 103 896621 31 892 -166 -1934 0 0 0 756 729 0
1787956225.821 t 104 896693 31 942 -184 -2017 0 0 0 755 711 0
1787956225.893 t 105 896765 31 992 -203 -2175 0 0 0 764 719 0
1787956225.967 t 106 896837 31 1042 -223 -2276 0 0 0 765 739 0
1787956226.037 t 107 896909 31 1091 -245 -2352 0 0 0 748 739 0
1787956226.113 t 108 896981 31 1141 -267 -2412 0 0 0 765 739 0
1787956226.183 t 109 897053 31 1190 -289 -2529 0 0 0 791 729 0
1787956226.253 t 110 897125 31 1238 -312 -2623 0 0 0 775 722 0
1787956226.337 t 111 897197 31 1286 -337 -2728 0 0 0 765 739 0
1787956226.398 t 112 897269 31 1334 -362 -2822 0 0 0 765 712 0
1787956226.468 t 113 897341 31 1381 -388 -2811 0 0 0 745 755 0
1787956226.543 t 114 897413 31 1429 -414 -2886 0 0 0 765 739 0
1787956226.612 thdr seq now flags x y h ox oy oh vl vr i2cf
1787956226.615 t 115 897485 31 1476 -440 -2980 0 0 0 775 738 0
1787956226.686 t 116 897557 31 1522 -468 -3112 0 0 0 782 748 0
1787956226.756 t 117 897629 31 1569 -497 -3210 0 0 0 765 738 0
1787956226.837 t 118 897701 31 1615 -526 -3210 0 0 0 748 748 0
1787956226.901 t 119 897773 31 1660 -555 -3259 0 0 0 765 739 0
1787956226.975 t 120 897845 31 1706 -585 -3345 0 0 0 754 739 0
1787956227.045 t 121 897917 31 1751 -615 -3481 0 0 0 775 748 0
1787956227.116 t 122 897989 31 1795 -647 -3575 0 0 0 765 745 0
1787956227.189 t 123 898061 31 1839 -679 -3616 0 0 0 755 765 0
1787956227.261 t 124 898133 31 1883 -712 -3669 0 0 0 758 748 0
1787956227.333 t 125 898205 31 1926 -745 -3782 0 0 0 775 729 0
1787956227.405 t 126 898277 31 1968 -779 -3910 0 0 0 712 749 0
1787956227.479 t 127 898349 31 2010 -814 -4056 0 0 0 785 738 0
1787956227.533 t 0 898405 31 2010 -814 -4056 0 0 0 785 738 0
1787956227.582 t 1 898455 31 2010 -814 -4056 0 0 0 785 738 0
1787956227.637 t 2 898509 31 2010 -814 -4056 0 0 0 785 738 0
1787956227.689 t 3 898559 31 2010 -814 -4056 0 0 0 785 738 0
1787956227.741 t 4 898613 31 2010 -814 -4056 0 0 0 785 738 0
1787956227.790 t 5 898663 31 2010 -814 -4056 0 0 0 785 738 0
1787956227.846 thdr seq now flags x y h ox oy oh vl vr i2cf
1787956227.848 t 6 898717 31 2010 -814 -4056 0 0 0 785 738 0
1787956227.897 t 7 898767 31 2010 -814 -4056 0 0 0 785 738 0
1787956227.949 t 8 898821 31 2010 -814 -4056 0 0 0 785 738 0
1787956228.002 t 9 898871 31 2010 -814 -4056 0 0 0 785 738 0
1787956228.053 t 10 898925 31 2010 -814 -4056 0 0 0 785 738 0
1787956228.105 t 11 898975 31 2010 -814 -4056 0 0 0 785 738 0
1787956228.157 t 12 899029 31 2010 -814 -4056 0 0 0 785 738 0
1787956228.207 t 13 899079 31 2010 -814 -4056 0 0 0 785 738 0
1787956228.263 t 14 899133 31 2010 -814 -4056 0 0 0 785 738 0
1787956228.312 t 15 899183 31 2010 -814 -4056 0 0 0 785 738 0
1787956228.375 t 16 899237 31 2010 -814 -4056 0 0 0 785 738 0
1787956228.414 t 17 899287 31 2010 -814 -4056 0 0 0 785 738 0
1787956228.477 t 18 899341 31 2010 -814 -4056 0 0 0 785 738 0
1787956228.519 t 19 899391 31 2010 -814 -4056 0 0 0 785 738 0
1787956228.578 t 20 899445 31 2010 -814 -4056 0 0 0 785 738 0
1787956228.623 t 21 899495 31 2010 -814 -4056 0 0 0 785 738 0
1787956228.685 t 22 899549 31 2010 -814 -4056 0 0 0 785 738 0
1787956228.732 t 23 899599 31 2010 -814 -4056 0 0 0 785 738 0
1787956228.785 t 24 899653 31 2010 -814 -4056 0 0 0 785 738 0
1787956228.840 thdr seq now flags x y h ox oy oh vl vr i2cf
1787956228.844 t 25 899703 31 2010 -814 -4056 0 0 0 785 738 0
1787956228.888 t 26 899755 31 2010 -814 -4056 0 0 0 785 738 0
1787956228.937 t 27 899809 31 2010 -814 -4056 0 0 0 785 738 0
1787956228.990 t 28 899859 31 2010 -814 -4056 0 0 0 785 738 0
1787956229.041 t 29 899913 31 2010 -814 -4056 0 0 0 785 738 0
1787956229.092 t 30 899963 31 2010 -814 -4056 0 0 0 785 738 0
1787956229.144 t 31 900017 31 2010 -814 -4056 0 0 0 785 738 0
1787956229.197 t 32 900067 31 2010 -814 -4056 0 0 0 785 738 0
1787956229.249 t 33 900121 31 2010 -814 -4056 0 0 0 785 738 0
1787956229.303 t 34 900171 31 2010 -814 -4056 0 0 0 785 738 0
1787956229.351 >>> STATUS
1787956229.355 t 35 900225 31 2010 -814 -4056 0 0 0 785 738 0
1787956229.373 status ready=1 active=1 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=0 cyc=146 tlm=pose next=4 done=3 reason=timeout
1787956229.402 t 36 900275 31 2010 -814 -4056 0 0 0 785 738 0
1787956229.460 t 37 900329 31 2010 -814 -4056 0 0 0 785 738 0
1787956229.508 t 38 900379 31 2010 -814 -4056 0 0 0 785 738 0
1787956229.562 t 39 900433 31 2010 -814 -4056 0 0 0 785 738 0
1787956229.610 t 40 900483 31 2010 -814 -4056 0 0 0 785 738 0
1787956229.665 t 41 900537 31 2010 -814 -4056 0 0 0 785 738 0
1787956229.714 t 42 900587 31 2010 -814 -4056 0 0 0 785 738 0
1787956229.769 t 43 900641 31 2010 -814 -4056 0 0 0 785 738 0
1787956229.818 thdr seq now flags x y h ox oy oh vl vr i2cf
1787956229.823 t 44 900691 31 2010 -814 -4056 0 0 0 785 738 0
1787956229.877 t 45 900743 31 2010 -814 -4056 0 0 0 785 738 0
1787956229.926 t 46 900797 31 2010 -814 -4056 0 0 0 785 738 0
1787956229.975 t 47 900847 31 2010 -814 -4056 0 0 0 785 738 0
1787956230.028 t 48 900901 31 2010 -814 -4056 0 0 0 785 738 0
1787956230.079 t 49 900951 31 2010 -814 -4056 0 0 0 785 738 0
1787956230.133 t 50 901005 31 2010 -814 -4056 0 0 0 785 738 0
1787956230.185 t 51 901055 31 2010 -814 -4056 0 0 0 785 738 0
1787956230.237 t 52 901109 31 2010 -814 -4056 0 0 0 785 738 0
1787956230.288 t 53 901159 31 2010 -814 -4056 0 0 0 785 738 0
1787956230.339 t 54 901213 31 2010 -814 -4056 0 0 0 785 738 0
1787956231.386 t 55 901263 31 2010 -814 -4056 0 0 0 785 738 0
1787956231.386 t 56 901317 31 2010 -814 -4056 0 0 0 785 738 0
1787956231.386 t 57 901367 31 2010 -814 -4056 0 0 0 785 738 0
1787956231.386 t 58 901421 31 2010 -814 -4056 0 0 0 785 738 0
1787956231.386 t 59 901471 31 2010 -814 -4056 0 0 0 785 738 0
1787956231.386 t 60 901525 31 2010 -814 -4056 0 0 0 785 738 0
1787956231.386 t 61 901575 31 2010 -814 -4056 0 0 0 785 738 0
1787956231.386 t 62 901629 31 2010 -814 -4056 0 0 0 785 738 0
1787956231.386 thdr seq now flags x y h ox oy oh vl vr i2cf
1787956231.386 t 63 901679 31 2010 -814 -4056 0 0 0 785 738 0
1787956231.386 t 64 901731 31 2010 -814 -4056 0 0 0 785 738 0
1787956231.386 t 65 901785 31 2010 -814 -4056 0 0 0 785 738 0
1787956231.386 t 66 901835 31 2010 -814 -4056 0 0 0 785 738 0
1787956231.386 t 67 901889 31 2010 -814 -4056 0 0 0 785 738 0
1787956231.386 t 68 901939 31 2010 -814 -4056 0 0 0 785 738 0
1787956231.386 t 69 901993 31 2010 -814 -4056 0 0 0 785 738 0
1787956231.386 t 70 902043 31 2010 -814 -4056 0 0 0 785 738 0
1787956231.386 t 71 902097 31 2010 -814 -4056 0 0 0 785 738 0
1787956231.386 t 72 902147 31 2010 -814 -4056 0 0 0 785 738 0
1787956231.388 t 73 902201 31 2010 -814 -4056 0 0 0 785 738 0
1787956231.388 t 74 902251 31 2010 -814 -4056 0 0 0 785 738 0
1787956231.432 t 75 902305 31 2010 -814 -4056 0 0 0 785 738 0
1787956231.483 t 76 902355 31 2010 -814 -4056 0 0 0 785 738 0
1787956231.537 t 77 902409 31 2010 -814 -4056 0 0 0 785 738 0
1787956231.587 t 78 902459 31 2010 -814 -4056 0 0 0 785 738 0
1787956231.648 t 79 902513 31 2010 -814 -4056 0 0 0 785 738 0
1787956231.692 t 80 902563 31 2010 -814 -4056 0 0 0 785 738 0
1787956231.752 t 81 902617 31 2010 -814 -4056 0 0 0 785 738 0
1787956231.794 thdr seq now flags x y h ox oy oh vl vr i2cf
1787956231.798 t 82 902667 31 2010 -814 -4056 0 0 0 785 738 0
1787956231.848 t 83 902719 31 2010 -814 -4056 0 0 0 785 738 0
1787956231.901 t 84 902773 31 2010 -814 -4056 0 0 0 785 738 0
1787956231.956 t 85 902823 31 2010 -814 -4056 0 0 0 785 738 0
