turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
0,90,60,5,stop,89.63,-0.37,89.67,24,85.08,-4.92,4.58,-0.82,0.03,-1.18,4.57,66,121,1.5,177,1
1,-90,60,6,stop,-91.27,-1.27,-90.48,32,-88.03,1.97,0.03,-1.18,1.41,-0.02,1.8,82,108,1.74,185,1
2,90,60,7,stop,86.18,-3.82,85.7,33,83.0,-7.0,1.41,-0.02,-0.72,-0.62,2.22,62,118,1.43,174,1
3,-90,60,8,stop,-90.21,-0.21,-90.43,38,-85.01,4.99,-0.69,-0.63,0.55,0.66,1.79,82,118,1.45,122,1
4,90,60,9,stop,90.08,0.08,90.46,35,84.55,-5.45,0.55,0.66,-1.61,0.0,2.26,56,118,1.44,126,1
5,-90,60,10,stop,-92.93,-2.93,-92.76,24,-87.69,2.31,-1.62,0.01,0.97,2.02,3.28,75,128,1.74,152,1
6,90,60,11,stop,91.43,1.43,91.4,35,86.44,-3.56,0.98,2.02,-1.21,1.51,2.25,66,118,1.56,127,1
7,-90,60,12,stop,-90.9,-0.9,-90.94,39,-86.25,3.75,-1.22,1.51,0.05,2.82,1.83,72,118,1.51,138,1
8,90,60,13,stop,93.78,3.78,94.85,28,88.37,-1.63,0.08,2.84,-1.89,2.28,2.05,72,121,1.75,157,1
9,-90,60,14,stop,-92.63,-2.63,-92.36,35,-87.92,2.08,-1.9,2.28,-0.7,3.37,1.62,72,118,1.82,160,1
10,90,60,15,stop,88.17,-1.83,88.34,34,83.12,-6.88,-0.7,3.39,-4.54,3.77,3.86,72,128,1.44,146,1
11,-90,60,16,stop,-94.13,-4.13,-94.11,49,-88.72,1.28,-4.54,3.77,-3.08,4.78,1.77,75,112,1.87,135,1
