leg,commanded_mm,cruise,id,reason,cam_len_mm,len_err_mm,lateral_mm,dheading_deg,x0,y0,x1,y1,peak_v,first_moving_v,max_accel,min_accel,tail_monotone,frames
0,600,100,6,stop,597.7,-2.3,-18.2,-2.4,-46.48,-1.61,13.17,-5.4,118,36.0,628.7878787878788,-348.48484848484844,True,178
1,-600,100,7,stop,596.4,-3.6,-8.3,2.87,13.17,-5.41,-46.23,-0.05,112,10.0,370.3703703703704,-446.96969696969694,True,170
2,600,100,8,stop,595.0,-5.0,-24.3,-5.02,-46.23,-0.07,13.13,-4.17,121,20.0,787.8787878787879,-381.8181818181818,False,176
3,-600,100,9,stop,594.0,-6.0,7.1,3.45,13.13,-4.17,-45.97,1.8,118,10.0,323.07692307692304,-361.11111111111114,True,167
4,600,100,10,stop,594.9,-5.1,-19.6,-2.8,-45.97,1.82,13.32,-2.97,121,14.5,674.2424242424242,-490.74074074074076,True,153
5,-600,100,11,stop,593.9,-6.1,-4.8,2.61,13.31,-2.86,-45.86,2.17,121,11.5,393.93939393939394,-427.27272727272725,True,179
