leg,interfered,commanded_mm,cam_mm,len_err_mm,dheading_deg,i2cf_delta,cyc_delta,run_fix_reply,reason
0,False,120,113.51961445783006,-6.480385542169941,-2.4469386486513542,1,55,,stop
1,True,-120,113.18049942604732,-6.819500573952681,0.6385946092639188,0,55,OCAL:now:-3091:2978:2789,stop
2,False,120,112.72728552194343,-7.272714478056571,0.14271481733231894,3,56,,stop
3,True,-120,112.9216855042629,-7.078314495737104,-0.8055851935913267,4,56,OCAL:now:-3153:3048:1532,stop
4,False,120,113.37812583032459,-6.621874169675408,0.09709312050958374,0,55,,stop
5,True,-120,114.4408453035675,-5.5591546964325005,1.1027366957615925,2,56,OCAL:now:-3196:3137:212,stop
6,False,120,111.39710612328862,-8.602893876711377,-2.5385019658666295,3,54,,stop
7,True,-120,112.34056712815816,-7.659432871841844,1.501675024690428,2,55,OCAL:now:-3225:3204:-1633,stop
8,False,120,114.14999708850328,-5.850002911496716,-2.099333146991029,2,56,,stop
9,True,-120,112.591541409315,-7.408458590685001,0.5349826991640043,3,55,OCAL:now:-3222:3270:-2770,stop
