leg,interfered,commanded_mm,cam_mm,len_err_mm,dheading_deg,i2cf_delta,cyc_delta,run_fix_reply,reason
0,False,120,113.45494714278473,-6.545052857215268,-0.1188339873217501,1,56,,stop
1,True,-120,112.04314885446485,-7.956851145535154,-0.7970074037695838,3,56,OCAL:now:-3007:3146:9609,stop
2,False,120,112.78621991266948,-7.21378008733052,0.5689062676270851,0,55,,stop
3,True,-120,113.65882154314825,-6.34117845685175,0.9279430883832163,4,57,OCAL:now:-3082:3101:8649,stop
4,False,120,113.86504816073098,-6.134951839269021,-1.624349487942709,5,58,,stop
5,True,-120,112.88356323308334,-7.116436766916664,1.4936421628842709,251,4293,OCAL:now:-3159:3101:7656,stop
6,False,120,112.04242110837411,-7.957578891625886,0.4649293361857474,3,55,,stop
7,True,-120,113.38679855590804,-6.613201444091956,0.5583536296287548,0,55,OCAL:now:-3222:3073:6563,stop
