turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,0,4,stop,97.21,7.21,98.67,14,,,-16.14,12.46,-16.86,12.52,0.73,,,0.0,0,1
2,-90,0,5,stop,-99.48,-9.48,-99.34,14,,,-16.86,12.53,-16.92,12.87,0.35,,,0.0,0,1
3,180,0,6,stop,198.32,18.32,-163.29,13,,,-16.92,12.89,-17.59,12.41,0.83,,,0.0,0,1
4,-180,0,7,stop,-196.0,-16.0,-195.99,16,,,-17.59,12.45,-16.95,12.2,0.68,,,0.0,0,1
5,-90,0,8,stop,-99.93,-9.93,-99.57,12,,,-16.94,12.22,-17.07,12.18,0.14,,,0.0,0,1
6,90,0,9,stop,99.94,9.94,99.99,11,,,-17.06,12.18,-16.94,13.07,0.9,,,0.0,0,1
7,-180,0,10,stop,-199.9,-19.9,159.19,12,,,-16.94,13.07,-17.14,13.62,0.58,,,0.0,0,1
8,180,0,11,stop,198.8,18.8,199.47,15,,,-17.14,13.64,-16.38,13.58,0.76,,,0.0,0,1
