t,x,y,heading,speed
1789763091.1517282,-8.745878748056496,-8.718593532001824,-139.4809534219109,0.0
1789763091.360876,-8.745378452480537,-8.716747140629094,-139.48387479688728,0.0
1789763091.516992,-8.718365451471797,-8.753776191514602,-139.64001608875174,0.0
1789763091.654353,-8.71644895322839,-8.767316388892265,-139.40279437053812,0.0
1789763091.8996558,-8.732188885906929,-8.741993107011673,-139.7798503357674,0.0
1789763092.036875,-8.749078693524641,-8.730568705767222,-140.10421433930804,0.0
1789763092.170795,-8.729612730146629,-8.73549605838481,-139.84047198599873,0.0
1789763092.299732,-8.748734346863886,-8.715569714963678,-139.50085219124858,0.0
1789763092.775441,-8.746577786251938,-8.715421320929893,-139.5399635096701,0.0
1789763092.92317,-8.756475532343632,-8.697045985731663,-139.76559619298223,0.0
1789763093.046392,-8.752183412358878,-8.717837416843889,-140.15717675736485,0.0
1789763093.187005,-8.742270488458484,-8.71865783915479,-139.4518063023643,0.0
1789763093.3125389,-8.719130213345515,-8.759952924515357,-139.56809629090677,0.0
1789763093.450926,-8.735608122141551,-8.73796128909629,-139.78159583846346,0.0
1789763093.5941591,-8.748591938399056,-8.721359230305435,-140.104065160845,0.0
1789763093.714725,-8.746118007031091,-8.712718513608738,-139.5363954600138,0.0
1789763093.7806668,-8.803226579837474,-8.586036923254735,-142.25922931739214,0.0
1789763093.9552672,-8.715940564523905,-8.756941918781335,-139.45131026790568,0.0
1789763094.084673,-8.728881796672997,-8.74630723482748,-139.73725069539182,0.0
1789763094.2101061,-8.754919096524429,-8.702781911405099,-139.67540772052766,0.0
1789763094.3644001,-8.752259735334174,-8.699698975625234,-139.64084474856415,0.0
1789763094.498842,-8.754856303932174,-8.694961120047303,-139.74402933196907,0.0
1789763094.64898,-8.752116868480437,-8.710039004690243,-139.57035866714372,0.0
1789763094.8130581,-8.730074401308004,-8.748990247313888,-139.09502132371455,0.0
1789763094.953464,-8.73855473949596,-8.734743787291197,-139.90851868125236,0.0
1789763095.047585,-8.745254725661148,-8.715629592679525,-139.4757498281999,0.0
1789763095.231213,-8.74610720472751,-8.714326414427507,-139.52194551896844,0.0
1789763095.2981088,-8.742909950300524,-8.713997043814384,-139.42124840254257,0.0
1789763095.368767,-8.895081922865588,-9.177758379037694,-132.28369921626543,0.0
1789763095.428864,-9.167867377047326,-9.392912106664934,-128.88481107272972,0.0
1789763095.5044868,-9.331307497470736,-9.542174007212806,-121.23427319318486,0.0
1789763095.620667,-9.340252649595087,-9.853921377023214,-109.61036936066398,0.0
1789763095.693679,-9.087749866524714,-10.171134777648195,-93.82143525888591,0.0
1789763095.7659059,-8.717008564655892,-10.469992278408427,-61.84270240725732,0.0
1789763095.834333,-8.801449105120275,-10.528929315135976,-58.18650754146399,0.0
1789763095.9342442,-8.528699222669735,-10.461177020659779,-52.81871373359488,0.0
1789763096.073896,-8.556682742124856,-10.447295133743111,-51.05939718278303,0.0
1789763096.136012,-8.539896509038837,-10.44534449399149,-50.54802314004553,0.0
1789763096.2133162,-8.54483070118085,-10.44351177248879,-50.547762767297996,0.0
1789763096.286309,-8.551800977859955,-10.443096312602215,-50.62310684129193,0.0
1789763096.359095,-8.544872392625972,-10.444291877426519,-50.60592585802305,0.0
1789763096.4363,-8.580913841176532,-10.463083624912372,-50.43370655158028,0.0
1789763096.5190651,-8.567774546032394,-10.45687202118808,-50.92415981832394,0.0
1789763096.647763,-8.575302506323622,-10.460959968164932,-50.374967648045235,0.0
1789763096.741153,-8.56123588569828,-10.4533161090637,-50.554284970265385,0.0
1789763096.829757,-8.532734920835953,-10.434084743982392,-50.4616686830851,0.0
1789763096.9042869,-8.559451064710814,-10.456726313128264,-50.83360632973554,0.0
1789763096.976068,-8.549413817991999,-10.437458563934687,-50.53508038066547,0.0
1789763097.0501819,-8.56921438887357,-10.459593019078726,-50.37007283240317,0.0
1789763097.179698,-8.570019600217922,-10.458696365278144,-50.33251005322671,0.0
1789763097.304663,-8.564212832456644,-10.432547947683823,-50.34635970522172,0.0
1789763097.454227,-8.55324769798952,-10.448569503735811,-50.70569598819791,0.0
1789763097.580995,-8.582676237622694,-10.467014093318927,-50.426350197009675,0.0
1789763097.770368,-8.542472187319639,-10.419832376147003,-50.33344594878275,0.0
1789763097.8968818,-8.571365720459262,-10.45776498373235,-50.32280953173677,0.0
1789763098.021446,-8.564303520313754,-10.45764794881987,-50.82748200501941,0.0
1789763098.653273,-8.553304105264198,-10.453788541020181,-50.46126892640425,0.0
1789763098.799361,-8.578534549347973,-10.478811374829863,-51.10208789137194,0.0
1789763098.930908,-8.57581482963905,-10.464561338807759,-50.3799162746071,0.0
1789763099.0552168,-8.557436703503143,-10.429603457925655,-50.531408796750455,0.0
1789763099.192697,-8.580026991424266,-10.464401085603761,-50.453826664715734,0.0
1789763099.315885,-8.570578428418052,-10.457697015506003,-50.34719012603356,0.0
1789763099.446487,-8.548168160039866,-10.43337663969384,-50.5608862074185,0.0
1789763099.590658,-8.527422933391057,-10.435803552788126,-50.68076244631875,0.0
1789763099.675783,-8.5414499878466,-10.450166213051599,-50.29993476935808,0.0
1789763099.8419409,-8.528275433359148,-10.447501203128592,-50.794047491794075,0.0
1789763099.977628,-8.531737486144898,-10.445888563714234,-50.2496723786787,0.0
1789763100.101396,-8.559889272163554,-10.455951705864983,-50.537303053370785,0.0
1789763100.2786582,-8.553188021779372,-10.442317213934924,-50.592211304244024,0.0
1789763100.407997,-8.573293231399465,-10.46555139324286,-50.404134340745344,0.0
1789763100.542996,-8.54449673256657,-10.418724889468459,-50.36089401441699,0.0
1789763100.6671722,-8.551734308837215,-10.451975214180225,-50.665678398751346,0.0
1789763100.800649,-8.571636587889387,-10.458089272714426,-50.282625440062944,0.0
1789763100.875513,-8.546908080604371,-10.441241472189082,-50.56183925779498,0.0
1789763100.954027,-8.546018082721337,-10.449497651248613,-50.33526027922625,0.0
1789763101.0195992,-8.57018575594586,-10.464672246907458,-50.346250933915336,0.0
1789763101.098333,-8.532120625564389,-10.40306508215375,-50.77989944069209,0.0
1789763101.17002,-8.638319585956571,-10.47026451780986,-52.2986383263751,0.0
1789763101.2443671,-8.82146714323455,-10.391641118688,-58.24843183125094,0.0
1789763101.319544,-8.830639704757889,-10.1793049224056,-65.01057911633383,0.0
1789763101.396776,-9.156401541957406,-10.089335287563735,-76.94789871085833,0.0
1789763101.467778,-9.405341554003911,-9.839413603380548,-90.63927435137896,0.0
1789763101.5366652,-9.44489548857475,-9.613173969033138,-104.36980455257859,0.0
1789763101.6082208,-9.55339332449416,-9.195417962359278,-117.44581601552642,0.0
1789763101.677479,-9.491419382367553,-8.98658129619393,-126.4432388863471,0.0
1789763101.7461069,-9.460015030134732,-8.89079298885938,-135.49732234936593,0.0
1789763101.818461,-9.330638760251945,-8.841425225748822,-137.45353052114976,0.0
1789763101.892409,-9.326702049019712,-8.810384443953254,-138.04133313915847,0.0
1789763101.972561,-9.323466244485287,-8.804777390423466,-138.11523940219678,0.0
1789763102.050868,-9.328161482997434,-8.809345471863237,-137.9872129155379,0.0
1789763102.119644,-9.32176972022806,-8.812944170053845,-137.95921939537644,0.0
1789763102.2393181,-9.372734514501513,-8.800127221606967,-138.34436107154676,0.0
1789763102.4215229,-9.330203866148077,-8.805302497749258,-138.0836635709285,0.0
1789763102.488543,-9.31388435656036,-8.821934102094431,-137.84853545803605,0.0
1789763102.563468,-9.399485831271859,-8.640426249454293,-140.25711038862482,0.0
1789763102.6369438,-9.31692447200021,-8.817741065994207,-137.97893008615037,0.0
1789763102.693772,-9.332550927021265,-8.787306298527806,-138.22894170701872,0.0
1789763102.780946,-9.343548684717152,-8.773495538120113,-138.46934762280327,0.0
1789763102.849429,-9.33991010837741,-8.783143747237164,-138.2951197091742,0.0
1789763102.9144561,-9.415814365404811,-8.747401589457429,-138.53886343434127,0.0
1789763102.9834151,-9.318932319968486,-8.812624231311645,-137.9448467561811,0.0
1789763103.053073,-9.331004110461524,-8.795514963153568,-138.15370980722656,0.0
1789763103.129478,-9.34690057698622,-8.77543118298735,-138.4135283543504,0.0
1789763103.1976068,-9.316820358654404,-8.815873509217187,-137.8942521259506,0.0
1789763103.26761,-9.41383728489364,-8.637401521752395,-140.3327810192534,0.0
1789763103.340688,-9.325108615662211,-8.813281636626616,-138.065384036691,0.0
1789763103.412055,-9.332484642538766,-8.793982355559573,-138.22664703830316,0.0
1789763103.4811652,-9.321296822661836,-8.811314281003211,-138.01101104150408,0.0
1789763103.560452,-9.339117952864227,-8.774979422362962,-138.4114220544961,0.0
1789763103.631398,-9.314282998074203,-8.826790361540962,-137.87822785577717,0.0
1789763103.704224,-9.29062626833312,-8.846905692414989,-137.83656165372216,0.0
1789763103.768787,-9.32470838988628,-8.81274879151926,-137.94383652396846,0.0
1789763103.8463109,-9.328702389713111,-8.803572818831375,-138.0719248184212,0.0
1789763103.912958,-9.32088453423879,-8.815736051558376,-137.909483830538,0.0
1789763104.020503,-9.31976997821646,-8.808452298425767,-138.0035508495229,0.0
1789763104.14658,-9.327118591720003,-8.811632757888281,-138.02226101989103,0.0
1789763104.2749891,-9.337974359373433,-8.77457313737575,-138.36674255362124,0.0
1789763104.462579,-9.324676616133033,-8.80560662977196,-138.00168416387885,0.0
1789763104.606343,-9.346897446299039,-8.834610068632312,-137.89242360318386,0.0
1789763104.762916,-9.322042484749858,-8.813342668239477,-137.98606855284075,0.0
1789763104.920732,-9.346556076866126,-8.7762486502687,-138.41940900013935,0.0
1789763105.048855,-9.323803302098487,-8.814958775680514,-137.9762210573545,0.0
1789763105.679899,-9.321625270198044,-8.815675420777419,-137.91400808492583,0.0
1789763105.8043149,-9.307722055992599,-8.827011630688666,-137.82190419883221,0.0
1789763105.9269602,-9.339100601478297,-8.778488545137012,-138.5029533493173,0.0
1789763106.057716,-9.369687127032087,-8.761228151204673,-138.233922379148,0.0
1789763106.1878378,-9.327134726447131,-8.792840181206113,-138.18853670040738,0.0
1789763106.313266,-9.352682704591263,-8.826939236598466,-138.1253658118738,0.0
1789763106.4405692,-9.31956509801058,-8.813163617385095,-137.96744818683973,0.0
1789763106.64978,-9.314257534979506,-8.815940376072518,-137.95043021409617,0.0
1789763106.7194052,-9.315467445630802,-8.814898109003037,-137.9159726658219,0.0
1789763106.843712,-9.329671634896343,-8.79692714451564,-138.1634633529152,0.0
1789763106.98125,-9.322678283213842,-8.813718148708434,-138.01449030859928,0.0
