turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,188,5,stop,90.41,0.41,89.63,21,,,27.55,6.46,28.03,5.78,0.83,,,0.0,0,1
2,-90,188,6,stop,-87.89,2.11,-87.41,22,,,28.02,5.79,27.24,6.39,0.99,,,0.0,0,1
3,180,188,7,stop,177.41,-2.59,177.27,25,,,27.25,6.43,28.23,6.45,0.99,,,0.0,0,1
4,-180,188,8,stop,-176.52,3.48,-177.04,25,,,28.25,6.42,27.26,6.28,1.0,,,0.0,0,1
5,-90,188,9,stop,-89.59,0.41,-89.12,19,,,27.25,6.29,28.07,7.14,1.18,,,0.0,0,1
6,90,188,10,stop,85.62,-4.38,84.77,19,,,28.08,7.15,27.39,7.05,0.69,,,0.0,0,1
7,-180,188,11,stop,-176.6,3.4,-176.51,23,,,27.41,7.02,28.68,7.54,1.38,,,0.0,0,1
8,180,188,12,stop,176.74,-3.26,176.31,25,,,28.69,7.51,27.98,7.47,0.71,,,0.0,0,1
9,90,188,13,stop,88.69,-1.31,88.53,21,,,27.98,7.46,28.28,6.77,0.75,,,0.0,0,1
10,-90,188,14,stop,-87.61,2.39,-87.01,21,,,28.29,6.77,27.4,7.61,1.22,,,0.0,0,1
11,180,188,15,stop,178.09,-1.91,178.5,25,,,27.41,7.59,28.2,7.44,0.8,,,0.0,0,1
12,-180,188,16,stop,-178.6,1.4,-180.54,25,,,28.2,7.45,26.73,7.09,1.51,,,0.0,0,1
13,-90,188,17,stop,-88.44,1.56,-87.77,21,,,26.72,7.08,27.24,7.83,0.91,,,0.0,0,1
14,90,188,18,stop,85.82,-4.18,84.33,20,,,27.25,7.84,26.54,7.65,0.74,,,0.0,0,1
15,-180,188,19,stop,-175.66,4.34,-174.95,23,,,26.54,7.66,27.7,8.03,1.21,,,0.0,0,1
16,180,188,20,stop,175.3,-4.7,175.24,22,,,27.69,8.04,27.44,7.91,0.29,,,0.0,0,1
