leg,commanded_mm,camera_mm,error_mm,cross_mm,heading_change_deg,x0,y0,x1,y1,reason
1,200,199.7,-0.3,-12.8,0.62,8.92,12.41,-11.08,13.01,stop
2,-200,-199.6,0.4,6.0,0.74,-11.22,12.98,8.74,12.38,stop
3,200,199.4,-0.6,-18.3,0.17,8.74,12.38,-11.21,14.05,stop
4,-200,-200.6,-0.6,4.3,0.57,-11.21,14.04,8.85,13.86,stop
5,300,300.6,0.6,-22.9,0.73,8.85,13.85,-21.24,15.7,stop
6,-300,-299.7,0.3,10.2,-0.64,-21.23,15.7,8.76,15.46,stop
7,300,299.0,-1.0,-30.1,-1.2,8.76,15.46,-21.15,18.24,stop
8,-300,-299.2,0.8,10.4,0.36,-21.18,18.22,8.75,17.24,stop
9,400,398.6,-1.4,-35.2,-0.73,8.75,17.25,-31.12,20.66,stop
