leg,commanded_mm,cruise,id,reason,cam_len_mm,len_err_mm,lateral_mm,dheading_deg,x0,y0,x1,y1,peak_v,first_moving_v,max_accel,min_accel,tail_monotone,frames
0,600,100,7,stop,592.4,-7.6,-7.5,0.45,-30.77,-1.16,28.46,-2.28,128,31.0,676.9230769230769,-400.0,False,174
1,-600,100,8,stop,591.4,-8.6,0.9,-0.11,28.47,-2.29,-30.67,-2.29,128,33.0,305.55555555555554,-861.5384615384615,True,201
2,600,100,9,stop,593.5,-6.5,-9.2,-1.87,-30.67,-2.28,28.68,-3.26,128,26.5,719.6969696969696,-400.0,False,198
3,-600,100,10,stop,593.7,-6.3,13.7,2.91,28.68,-3.29,-30.68,-2.36,138,28.0,453.7037037037037,-818.1818181818181,False,175
4,600,100,11,stop,594.5,-5.5,-4.6,0.45,-30.67,-2.45,28.77,-3.48,128,23.0,753.8461538461538,-500.0,False,173
5,-600,100,12,stop,592.8,-7.2,-6.5,-0.06,28.75,-3.43,-30.54,-2.95,128,5.0,277.77777777777777,-623.0769230769231,False,190
